"A.J. Hospital & Research Centre, Mangalore"
"Bombay Hospital and Medical Research Centre, Mumbai"
Borivali BMT Centre
Breach Candy Hospital Trust
Brihanmumbai Municipal Corporation
"Himalayan Institute of Medical Sciences, Dehradun"
"Caritas Hospital, Kottayam"
"Central India Institute of Hematology and Oncology, Nagpur"
"Choithram/SAIMS, Indore"
"Christian Medical College, Vellore"
"Clearmedi Radiant Hospital, Mysore"
"Christian Medical College & Hospital, Ludhiana"
"Chittaranjan National Cancer Institute, Kolkata"
"Command Hospital Western Command, Chandigarh"
"Command Hospital Eastern Command, Kolkata"
"Command Hospital Southern Command, Pune"
"Command Hospital Air Force, Bengaluru"
"Command Hospital, Central Command, Lucknow"
"Continental Hospitals, Hyderabad"
"CSI Kalyani General Hospital, Chennai"
"Cytecare Cancer Hospitals, Bengaluru"
"Dayanand Medical College and Hospital, Ludhiana"
"Deenanath Mangeshkar Hospital and Research Center, Pune"
"Desun Hospital and Heart Institute, Kolkata"
"Dharamshila Narayana Superspeciality Hospital, Delhi"
"Dayanand Medical College & Hospital, Ludhiana"
"Fortis Escorts Heart Institute, New Delhi"
"Employees' State Insurance Corporation Hospital, Kolkata"
"ESIC Model Hospital, Nanda Nagar, Indore"
"Employees' State Insurance Hospital, Bangalore"
"ESIC Medical College and Hospital, Faridabad"
"Employees' State Insurance Corporation Hospital, Faridabad"
"Fortis Hospital, Mohali"
"Fortis Hospital Mulund, Mumbai"
"Fortis Hospital, Shalimar Bagh"
"Fortis Hospital, Bannerghatta Road, Bangalore"
"Fortis Memorial Research Institute, Gurugram"
"Fortis Hospital, Noida"
"Fortis Flt. Lt. Rajan Dhall Hospital, Vasant Kunj, New Delhi"
"Fortis Hospital, Anandapur, Kolkata"
"Ganga Hospital, Coimbatore"
"Gujarat Cancer and Research Institute, Ahmedabad"
"G. Kuppuswamy Naidu Memorial Hospital, Coimbatore"
"Gleneagles Global Hospital, Mumbai"
"Gleneagles Global Health City, Chennai"
Goa Medical College and Hospital
"Gauhati Medical College and Hospital, Guwahati"
"Ganju Cancer & Hematology Centre, Nagpur"
"GVN Hospital, Tiruchirappalli"
"HCG Cancer Centre, Jaipur"
"HCG Cancer Centre, Borivali"
"HCG Cancer Centre, Ahmedabad"
"HCG EKO Cancer Centre, Kolkata"
"HCG Cancer Centre, Bengaluru"
"HCG Cancer Centre, Indore"
"HCG Cancer Centre, Kalinga Rao Road, Bengaluru"
"HCG Cancer Centre, Nagpur"
"HCG Cancer Centre, Visakhapatnam"
"Hematology Clinic, Surat"
"Himalayan Institute of Medical Sciences, Jolly Grant, Dehradun"
"P.D. Hinduja Hospital & Medical Research Centre, Mahim, Mumbai"
"Dr. L. H. Hiranandani Hospital, Powai, Mumbai"
"Sir H.N. Reliance Foundation Hospital and Research Centre, Mumbai"
"HOC Vedant Hospital & Trauma Centre, Ahmedabad"
"Homi Bhabha Cancer Hospital and Research Centre, Visakhapatnam"
"Institute of Child Health and Hospital for Children, Chennai"
"Indian Cancer Treatment Centre - ICTC, Mumbai"
"Institute of Haematology & Transfusion Medicine, Kolkata"
"Institute of Medical Sciences and SUM Hospital, Bhubaneswar"
"Indiana Hospital & Heart Institute, Mangalore"
"Jehangir Hospital, Pune"
"Jawaharlal Institute of Postgraduate Medical Education and Research, Puducherry"
"Jawaharlal Nehru Cancer Hospital & Research Centre, Bhopal"
"Jupiter Hospital, Baner, Pune"
"Jupiter Hospital, Thane"
"Kannappa Memorial Hospital, Chennai"
"Karkinos Healthcare, Kolkata"
"Kasturba Medical College and Hospital, Manipal"
"Kauvery Hospital, Chennai"
"Kauvery Hospital, Tiruchirappalli"
"Kauvery Hospital, Trichy"
"KEM Hospital, Ahmedabad"
"King Edward Memorial Hospital and Seth Gordhandas Sunderdas Medical College, Mumbai"
"King George Hospital, Visakhapatnam"
"King George's Medical University, Lucknow"
"Kidwai Memorial Institute of Oncology, Bengaluru"
"KIMSHEALTH Cancer Centre, Thiruvananthapuram"
"Kalinga Institute of Medical Sciences, Bhubaneswar"
"Krishna Institute of Medical Sciences, Secunderabad"
"KIMS Kingsway Hospitals, Nagpur"
"Kiran Multi Super Speciality Hospital And Research Center, Surat"
"Kanchi Kamakoti CHILDS Trust Hospital, Chennai"
"Kasturba Medical College, Mangalore"
"Kasturba Hospital, Manipal"
"Kokilaben Dhirubhai Ambani Hospital and Medical Research Institute, Mumbai"
"Kokilaben Dhirubhai Ambani Hospital, Navi Mumbai"
"Kovai Medical Center and Hospital, Coimbatore"
"Lakeshore Hospital and Research Centre Ltd., Kochi"
Dr. L. H. Hiranandani Hospital
"Lifeline Blood Centre, Nagpur"
"Lilavati Hospital, Ahemdabad"
"Lilavati Hospital and Research Centre, Mumbai"
"Lisie Hospital, Kochi"
"M.S. Ramaiah Memorial Hospital, Bengaluru"
"Madras Medical College, Chennai"
"Mahatma Gandhi Cancer Hospital and Research Institute, Visakhapatnam"
"Mahatma Gandhi Medical College & Hospital, Jaipur"
"Mahavir Hospital & Research Centre, Surat"
"Mahavir Arogya Sansthan, Patna"
"Malabar Cancer Centre, Thalassery"
"Mangalore Institute of Oncology, Mangalore"
"Manipal Hospital HAL Road, Bengaluru"
"Manipal Hospitals, Bhubaneswar"
"Manipal Hospital (AMRI), Kolkata"
"Manipal Hospital, Dona Paula, Goa"
"Manipal Hospital, Baner, Pune"
"Manipal Hospital Old Airport Road, Bangalore"
"Manipal Hospital, Dwarka, Delhi"
"Manipal Hospital, Vijayawada"
"Manipal Hospital, Yeshwanthpur, Bangalore"
Manipal Hospital Goa
Marengo Asia Hospital (Gurgaon & Faridabad)
"Marengo CIMS Hospital, Ahmedabad"
"Alexis Multispeciality Hospital, Nagpur"
"Max Super Speciality Hospital, Mohali"
"Max Multi Speciality Centre, Noida"
"Max Super Speciality Hospital, Patparganj"
"Max Super Speciality Hospital, Saket, New Delhi"
"Max Super Speciality Hospital, Shalimar Bagh"
"Max Super Speciality Hospital, Vaishali"
"Max Hospital, Noida"
"Nanavati Max Super Speciality Hospital, Mumbai"
"Mazumdar Shaw Cancer Centre, Narayana Health City, Bangalore"
"Medanta Super Speciality Hospital, Indore"
"Medanta Hospital, Patna"
"Medanta Hospital, Lucknow"
"Medanta - The Medicity, Gurugram"
"Medanta Super Speciality Hospital, Lucknow"
"Medical Trust Hospital, Kochi"
"Medicover Hospitals, Visakhapatnam"
"Meenakshi Mission Hospital & Research Centre, Madurai"
"Meherbai Tata Memorial Hospital, Jharkhand"
"Meitra Hospital, Kozhikode"
"Metro Hospital and Cancer Institute, Faridabad"
"Maharaja's General Hospital, Visakhapatnam"
MGCH Visakhapatnam
"MGM Healthcare, Chennai"
"Mahatma Gandhi Memorial Medical College, Indore"
"MIOT International Hospital, Chennai"
"Mittal Hospital & Research Centre, Raipur"
Madras Medical College
"MNJ Institute of Oncology & Regional Cancer Centre, Hyderabad"
"MOC Charni Road, Mumbai"
"MOC Healthcare, Indore"
"MVR Cancer Centre and Research Institute, Kozhikode"
"MVR Cancer Centre and Research Institute, Calicut"
Nanavati Max Super Speciality Hospital
"Narayana Health SRCC Children's Hospital, Mumbai"
"Narayana Superspeciality Hospital, Kolkata"
"Narayana Multispeciality Hospital, Raipur"
"National Cancer Institute, Nagpur"
"National Cancer Research Institute, Kolkata"
"Narayana Superspeciality Hospital, Gurugram"
"Nizam's Institute of Medical Sciences, Hyderabad"
"Northern Railway Central Hospital, New Delhi"
"Nil Ratan Sircar Medical College and Hospital, Kolkata"
"Omega Hospital, Banjara Hills, Hyderabad"
"Oncowin Cancer Centre, Ahmedabad"
"Oswal Cancer Hospital, Chandigarh"
"Oswal Cancer Hospital, Ludhiana"
"Own Clinic at Andheri, Mumbai"
"P. D. Hinduja Hospital & Medical Research Centre, Mumbai"
"PACE Hospitals, Hyderabad"
"Panchsheel Plaza Clinic, Charni Road, Mumbai"
"Paras Hospitals, Gurugram"
"Paras Hospitals, Panchkula"
"Paras HMRI Hospital, Patna"
"Park View Super Speciality Hospital, Kolkata"
"Hinduja Healthcare Surgical, Khar"
"Postgraduate Institute of Medical Education and Research, Chandigarh"
"Post Graduate Institute of Child Health, Noida"
"PI Cancer Centre & Research Institute, Hyderabad"
"Postgraduate Institute of Medical Education & Research, Chandigarh"
"PSG Institute of Medical Sciences & Research, Coimbatore"
"Pushpawati Singhania Research Institute, New Delhi"
"Qure Hematology & Oncology Clinic, Ahmedabad"
"S. L. Raheja Hospital - A Fortis Associate, Mahim, Mumbai"
"Rajagiri Hospital, Kochi"
"Rajiv Gandhi Cancer Institute & Research Centre, Rohini, Delhi"
"Regional Cancer Centre, Thiruvananthapuram"
"Dr. Rela Institute & Medical Centre, Chennai"
"Renova Century Hospital, Hyderabad"
"Army Hospital (Research & Referral), Delhi Cantt"
"Royal Care Super Speciality Hospital, Coimbatore"
"Ruby Hall Clinic, Pune"
"Fortis S. L. Raheja Hospital, Mahim, Mumbai"
"Safdarjung Hospital, New Delhi"
"Vardhman Mahavir Medical College & Safdarjung Hospital, New Delhi"
"Sahyadri Hospital, Pune"
"Saifee Hospital, Mumbai"
"Sri Aurobindo Institute of Medical Sciences, Indore"
"Sanar International Hospitals, Gurugram"
"Sanjeevani Hospital, Raipur"
"Sarvodaya Hospital & Research Centre, Faridabad"
"Saroj Gupta Cancer Centre & Research Institute, Kolkata"
"Sanjay Gandhi Postgraduate Institute of Medical Sciences, Lucknow"
"Shashwat Hospital, Rajkot"
Shree MahaGanpati Hospital
"Shree Om Haematology Clinic, Mumbai"
"Sindhu Hospitals, Hyderabad"
"Sir Ganga Ram Hospital, New Delhi"
"Sir H. N. Reliance Foundation Hospital and Research Centre, Mumbai"
"Sher-i-Kashmir Institute of Medical Sciences, Srinagar"
"Silverline Hospital, Trichy"
"SMBT Institute of Medical Sciences & Research Centre, Nandi Hills, Nashik"
"Smita Memorial Hospital & Research Centre, Thodupuzha"
"K. J. Somaiya Hospital and Research Centre, Mumbai"
"SPARSH Hospital, Yeshwanthpur, Bengaluru"
"Sparsh Hospital, Bhubaneswar"
"SRCC Children's Hospital, Mumbai"
"Sri Ramakrishna Hospital, Coimbatore"
"Sri Ramachandra Medical Centre, Chennai"
"St. Gregorios Medical Mission Hospital, Parumala"
"St. John's Medical College Hospital, Bangalore"
"Star Hospitals, Hitech City"
"State Cancer Institute, Sawai Man Singh Medical College, Jaipur"
"Sterling Hospital, Ahmedabad"
SUNACT Hospital
Sunrise Oncology Centre
"Sushrut Hospital & Research Centre, Chembur, Mumbai"
"Tata Medical Center, Kolkata"
"Tata Memorial Hospital, Mumbai"
"Thangam Cancer Center and Research Institute, Namakkal"
"Homi Bhabha Cancer Hospital & Research Centre, Mullanpur (New Chandigarh)"
"Velammal Medical College Hospital & Research Institute, Madurai"
"Venkateshwar Hospital, Dwarka, Delhi"
"Voluntary Health Services Hospital, Chennai"
"Jupiter Hospital, Indore"
"VS Hospitals, Chennai"
"Wockhardt Hospitals, Nagpur"
"Wockhardt Hospital, Mira Road, Mumbai"
"Yashoda Hospitals, Hitech City"
"Yashoda Hospitals, Secunderabad"
"Yashoda Superspeciality Hospital, Somajiguda"
"Yashoda Hospitals, Hyderabad"
"Yatharth Super Speciality Hospital, Noida"
"Yenepoya Medical College Hospital, Mangalore"
"Zen Multispeciality Hospital, Chembur, Mumbai"
"Zydus Hospitals, Ahmedabad"
